model-1609274090,1609274161.36, 0.6, 0.2304, 0.56, 0.1994
model-1609274090,1609274161.641, 0.67, 0.2228, 0.53, 0.3155
model-1609274090,1609274161.918, 0.56, 0.2512, 0.69, 0.1982
model-1609274090,1609274162.204, 0.48, 0.2803, 0.69, 0.2356
model-1609274090,1609274162.483, 0.69, 0.2391, 0.62, 0.2251
model-1609274090,1609274162.741, 0.64, 0.2148, 0.5, 0.263
model-1609274090,1609274163.016, 0.75, 0.2083, 0.56, 0.2384
model-1609274090,1609274163.298, 0.68, 0.2113, 0.72, 0.2268
model-1609274090,1609274163.583, 0.65, 0.2243, 0.78, 0.1636
model-1609274090,1609274163.864, 0.61, 0.229, 0.69, 0.2161
model-1609274090,1609274164.15, 0.61, 0.2406, 0.53, 0.2561
model-1609274090,1609274164.429, 0.69, 0.2091, 0.78, 0.202
model-1609274090,1609274164.701, 0.66, 0.2195, 0.66, 0.215
model-1609274090,1609274164.975, 0.64, 0.222, 0.5, 0.2467
model-1609274090,1609274165.247, 0.59, 0.2362, 0.66, 0.2011
model-1609274090,1609274165.518, 0.64, 0.2204, 0.69, 0.2269
model-1609274090,1609274165.803, 0.64, 0.2189, 0.53, 0.2508
model-1609274090,1609274166.092, 0.64, 0.2178, 0.81, 0.1879
model-1609274090,1609274166.379, 0.61, 0.2309, 0.62, 0.2262
model-1609274090,1609274166.641, 0.65, 0.2256, 0.41, 0.2805
model-1609274090,1609274166.931, 0.55, 0.2391, 0.56, 0.2298
model-1609274090,1609274167.203, 0.62, 0.2293, 0.69, 0.2091
model-1609274090,1609274167.48, 0.65, 0.2301, 0.69, 0.238
model-1609274090,1609274167.757, 0.66, 0.2251, 0.78, 0.2039
model-1609274090,1609274168.039, 0.71, 0.1996, 0.69, 0.2065
model-1609274090,1609274168.323, 0.55, 0.2395, 0.62, 0.202
model-1609274090,1609274168.59, 0.61, 0.2213, 0.62, 0.2537
model-1609274090,1609274168.869, 0.66, 0.2115, 0.81, 0.1632
model-1609274090,1609274169.157, 0.62, 0.2137, 0.5, 0.2674
model-1609274090,1609274169.427, 0.63, 0.2231, 0.72, 0.1871
model-1609274090,1609274169.7, 0.7, 0.207, 0.66, 0.2419
model-1609274090,1609274169.982, 0.65, 0.2017, 0.59, 0.2548
model-1609274090,1609274170.263, 0.69, 0.2053, 0.62, 0.2199
model-1609274090,1609274170.552, 0.63, 0.2165, 0.62, 0.2266
model-1609274090,1609274170.832, 0.66, 0.2041, 0.66, 0.2151
model-1609274090,1609274171.109, 0.65, 0.2142, 0.69, 0.2038
model-1609274090,1609274171.398, 0.71, 0.1972, 0.69, 0.185
model-1609274090,1609274171.677, 0.75, 0.2029, 0.53, 0.2322
model-1609274090,1609274171.952, 0.66, 0.2341, 0.53, 0.2916
model-1609274090,1609274172.237, 0.72, 0.1834, 0.59, 0.2507
model-1609274090,1609274172.505, 0.71, 0.2042, 0.53, 0.2527
model-1609274090,1609274172.776, 0.57, 0.2321, 0.62, 0.2261
model-1609274090,1609274173.057, 0.65, 0.2061, 0.69, 0.1914
model-1609274090,1609274173.344, 0.64, 0.2169, 0.59, 0.231
model-1609274090,1609274173.615, 0.68, 0.2194, 0.72, 0.2022
model-1609274090,1609274173.902, 0.59, 0.242, 0.59, 0.2406
model-1609274090,1609274174.187, 0.71, 0.2032, 0.69, 0.2094
model-1609274090,1609274174.471, 0.64, 0.2313, 0.56, 0.2762
model-1609274090,1609274174.749, 0.61, 0.2298, 0.56, 0.265
model-1609274090,1609274175.038, 0.64, 0.2255, 0.56, 0.2495
model-1609274090,1609274175.309, 0.66, 0.211, 0.62, 0.2468
model-1609274090,1609274175.598, 0.66, 0.2015, 0.53, 0.2504
model-1609274090,1609274175.881, 0.74, 0.1908, 0.66, 0.246
model-1609274090,1609274176.168, 0.67, 0.216, 0.69, 0.2136
model-1609274090,1609274176.449, 0.64, 0.2143, 0.56, 0.2644
model-1609274090,1609274176.733, 0.65, 0.2258, 0.62, 0.2352
model-1609274090,1609274177.017, 0.68, 0.2045, 0.62, 0.2476
model-1609274090,1609274177.29, 0.76, 0.1875, 0.66, 0.2171
model-1609274090,1609274177.572, 0.65, 0.21, 0.78, 0.1943
model-1609274090,1609274177.854, 0.69, 0.2089, 0.75, 0.2185
model-1609274090,1609274178.117, 0.69, 0.2076, 0.75, 0.1922
model-1609274090,1609274178.401, 0.65, 0.2064, 0.69, 0.2029
model-1609274090,1609274178.669, 0.72, 0.1844, 0.75, 0.1949
model-1609274090,1609274178.949, 0.68, 0.1969, 0.81, 0.1786
model-1609274090,1609274179.233, 0.71, 0.1997, 0.56, 0.247
model-1609274090,1609274179.513, 0.67, 0.216, 0.72, 0.2121
model-1609274090,1609274179.79, 0.79, 0.1749, 0.72, 0.1945
model-1609274090,1609274180.079, 0.66, 0.2223, 0.75, 0.202
model-1609274090,1609274180.366, 0.7, 0.1858, 0.75, 0.1612
model-1609274090,1609274180.655, 0.58, 0.2537, 0.69, 0.2266
model-1609274090,1609274180.94, 0.67, 0.2071, 0.69, 0.2322
model-1609274090,1609274181.216, 0.64, 0.208, 0.69, 0.2232
